filename,Augmentation Number
image 1,1
image 2,1
image 3,1
image 4,1
image 5,1
image 6,1
image 7,1
image 8,1
image 9,1
image 10,1
image 11,1
image 12,1
image 13,1
image 14,1
image 15,1
image 16,1
image 17,1
image 18,1
image 19,1
image 20,1
image 21,1
image 22,1
image 23,1
image 24,1
image 25,1
image 26,1
image 27,1
image 28,1
image 29,1
image 30,1
image 31,1
image 32,1
image 33,1
image 34,1
image 35,1
image 36,1
image 37,1
image 38,1
image 39,1
image 40,1
image 41,1
image 42,1
image 43,1
image 44,1
image 45,1
image 46,1
image 47,1
image 48,1
image 49,1
image 50,1
image 51,1
image 52,1
image 53,1
image 54,1
image 55,1
